id_transaction,id_client,montant,heure,jour_semaine,delai_depuis_derniere_min,nb_transactions_1h,nb_transactions_24h,distance_domicile_km,pays,type_commercant,canal_paiement,age_compte_annees,score_ip,est_fraude
TX00000001,1203,62.02,8,4,70.5,0,2,9.6,France,Autre,Carte physique,7.4,59.8,0
TX00000002,3925,22.47,0,4,18.5,0,3,0.1,France,Alimentaire,Sans contact,10.7,60.4,0
TX00000003,4348,27.19,0,2,55.0,1,6,0.5,France,Alimentaire,Carte physique,5.9,54.5,0
TX00000004,4133,202.14,4,2,62.0,0,6,1.0,France,Voyage,Carte physique,8.4,53.5,0
TX00000005,4319,11.39,23,0,74.4,0,2,16.3,France,Alimentaire,Carte physique,5.1,45.0,0
TX00000006,4500,1173.82,9,3,61.3,2,1,6.6,France,E-commerce,Sans contact,3.1,57.1,0
TX00000007,1555,345.14,1,6,5.2,0,1,0.1,France,Autre,En ligne,5.0,51.3,0
TX00000008,1796,21.82,3,2,6.2,2,4,0.4,France,Alimentaire,Carte physique,6.2,66.8,0
TX00000009,1563,16.55,10,3,19.9,1,5,10.4,France,E-commerce,Carte physique,1.3,56.4,0
TX00000010,3441,20.2,2,2,31.4,1,3,6.2,France,Station-service,En ligne,11.5,28.5,0
TX00000011,1909,80.21,0,4,44.0,1,3,6.2,France,Luxe,Carte physique,9.1,58.0,0
TX00000012,4340,19.39,5,2,80.4,1,6,0.5,France,Restaurant,En ligne,3.1,33.6,0
TX00000013,4108,230.74,17,3,164.7,2,5,6.5,Hors-UE,Restaurant,Sans contact,8.8,68.1,0
TX00000014,2752,51.51,15,0,8.3,0,6,0.4,France,E-commerce,Mobile,5.3,41.8,0
TX00000015,2922,16.5,23,6,22.1,1,3,4.3,France,E-commerce,Carte physique,4.2,70.8,0
TX00000016,2901,7.27,10,0,52.8,1,8,7.8,France,Station-service,Sans contact,2.0,77.7,0
TX00000017,2465,19.34,14,5,108.1,0,8,16.9,UE,Restaurant,En ligne,4.2,44.9,0
TX00000018,2676,5.36,15,2,10.9,2,4,10.7,France,Restaurant,Mobile,6.3,67.1,0
TX00000019,2608,80.83,11,2,4.0,1,3,10.4,France,Restaurant,Carte physique,4.3,23.1,0
TX00000020,1898,10.8,7,4,29.0,4,5,,UE,Alimentaire,Sans contact,5.2,31.7,0
TX00000021,1617,23.86,22,4,39.9,1,5,21.5,France,Autre,En ligne,4.6,45.8,0
TX00000022,4729,38.69,18,0,42.5,1,4,2.7,France,Alimentaire,Sans contact,3.3,77.1,0
TX00000023,2226,9.44,23,1,94.8,0,7,1.0,France,E-commerce,En ligne,4.2,75.5,0
TX00000024,3378,67.66,9,4,68.6,0,2,1.6,France,Autre,Carte physique,6.0,54.1,0
TX00000025,3807,11.76,6,4,54.0,1,2,5.3,France,Autre,Carte physique,11.6,28.7,0
TX00000026,4829,22.22,20,0,152.1,0,6,3.3,France,Station-service,Carte physique,7.3,34.8,0
TX00000027,1486,33.27,10,2,2.1,0,4,,France,Alimentaire,Carte physique,6.4,56.1,0
TX00000028,2045,15.54,1,0,43.8,0,2,0.7,France,Alimentaire,Carte physique,5.7,55.3,0
TX00000029,3615,331.52,22,1,73.4,0,3,4.3,France,E-commerce,En ligne,1.0,64.3,0
TX00000030,3901,3.18,22,0,64.3,0,0,2.5,France,Station-service,Sans contact,3.9,51.6,0
TX00000031,2388,18.77,23,6,60.1,0,4,7.1,Hors-UE,Alimentaire,Carte physique,7.5,53.0,0
TX00000032,3760,14.95,5,6,8.8,1,5,4.2,France,Station-service,Carte physique,12.0,41.7,0
TX00000033,4640,27.81,19,1,57.4,1,5,3.8,France,E-commerce,Sans contact,2.0,69.5,0
TX00000034,3347,11.71,22,4,60.2,1,6,15.0,France,E-commerce,En ligne,3.4,49.9,0
TX00000035,4556,252.97,4,0,173.3,0,5,3.7,France,E-commerce,Sans contact,2.8,61.5,0
TX00000036,2558,209.61,22,1,282.2,5,6,0.3,France,Alimentaire,Carte physique,5.9,53.4,0
TX00000037,4743,66.78,22,0,1.0,1,2,17.3,France,E-commerce,Carte physique,5.3,45.0,0
TX00000038,4910,2.81,20,0,112.9,1,4,,France,Alimentaire,Sans contact,3.7,26.0,0
TX00000039,2867,93.16,8,6,93.9,1,7,5.3,France,Luxe,Sans contact,5.7,,0
TX00000040,1194,116.49,18,4,101.1,1,5,2.6,France,Alimentaire,Carte physique,13.2,50.6,0
TX00000041,2535,29.53,1,2,5.0,1,5,9.3,France,Restaurant,Carte physique,3.6,49.4,0
TX00000042,4103,45.86,10,5,5.5,1,8,5.4,UE,Station-service,Sans contact,7.5,65.6,0
TX00000043,4281,2.71,7,2,9.2,3,5,0.7,France,Alimentaire,En ligne,2.1,47.8,0
TX00000044,3668,559.9,16,4,32.3,2,5,2.6,Hors-UE,Restaurant,Carte physique,3.2,46.9,0
TX00000045,4591,349.47,8,2,65.1,0,2,2.4,France,Autre,Carte physique,6.3,37.5,0
TX00000046,1961,298.99,21,3,99.6,0,3,16.6,UE,E-commerce,En ligne,7.6,73.3,0
TX00000047,4404,36.78,13,3,81.6,1,4,8.2,France,Autre,Carte physique,10.7,51.8,0
TX00000048,2801,54.1,0,2,7.1,2,7,0.7,France,Alimentaire,Sans contact,16.7,63.5,0
TX00000049,3468,18.04,23,0,24.3,2,2,4.9,France,E-commerce,En ligne,13.7,40.5,0
TX00000050,3147,26.15,0,2,10.6,1,2,10.2,France,Station-service,Carte physique,4.8,36.3,0
TX00000051,3430,43.41,11,0,122.8,4,4,24.2,France,Restaurant,Carte physique,5.1,57.9,0
TX00000052,1677,21.31,13,1,15.5,1,2,7.4,France,E-commerce,Mobile,9.6,53.8,0
TX00000053,1795,280.26,23,3,51.8,1,3,1.7,France,Restaurant,En ligne,2.8,46.0,0
TX00000054,3045,47.04,22,3,39.1,3,9,5.1,France,Luxe,Sans contact,10.0,69.3,0
TX00000055,4070,58.68,6,6,89.8,3,4,5.0,France,Alimentaire,En ligne,2.7,83.8,0
TX00000056,4178,125.01,11,4,69.8,3,4,1.3,France,Alimentaire,En ligne,8.0,54.4,0
TX00000057,4177,104.27,16,2,167.1,1,3,2.2,France,Autre,Sans contact,4.7,64.7,0
TX00000058,1819,52.43,15,4,103.6,1,3,3.4,France,E-commerce,Sans contact,8.9,76.5,0
TX00000059,2534,1.45,6,3,34.3,0,6,2.1,France,Alimentaire,Carte physique,2.0,29.9,0
TX00000060,4944,279.76,7,5,5.9,1,3,12.4,France,Autre,En ligne,9.8,34.6,0
TX00000061,3348,54.6,8,2,21.3,1,3,0.6,France,Alimentaire,En ligne,4.1,78.5,0
TX00000062,3648,10.79,13,2,10.1,0,4,12.2,France,Restaurant,En ligne,3.2,33.2,0
TX00000063,4988,9.77,22,2,33.2,0,7,3.0,UE,E-commerce,Carte physique,3.0,60.9,0
TX00000064,3756,72.48,16,3,132.5,1,4,9.8,UE,Autre,En ligne,2.0,59.9,0
TX00000065,3398,34.16,8,0,96.1,1,7,2.2,France,Autre,Sans contact,5.2,71.4,0
TX00000066,3284,23.93,13,5,42.0,2,7,5.2,France,Alimentaire,En ligne,5.3,45.4,0
TX00000067,4679,30.92,11,5,106.6,0,2,4.9,France,Station-service,En ligne,6.9,50.5,0
TX00000068,3767,3.13,1,1,110.3,1,4,7.6,France,Voyage,En ligne,4.3,43.3,0
TX00000069,2163,22.64,8,1,18.6,0,1,10.3,UE,E-commerce,En ligne,7.7,74.2,0
TX00000070,1125,6.09,1,4,63.9,2,2,2.5,France,Voyage,Carte physique,3.5,45.5,0
TX00000071,4729,44.74,1,1,12.3,1,8,4.2,France,Station-service,Carte physique,9.0,38.4,0
TX00000072,1817,22.22,21,2,84.2,1,4,0.2,France,Alimentaire,En ligne,8.8,65.0,0
TX00000073,3417,22.0,13,0,27.0,0,5,9.7,France,Alimentaire,Carte physique,3.7,56.3,0
TX00000074,1747,99.67,0,5,72.8,0,7,4.9,UE,Station-service,En ligne,1.6,44.7,0
TX00000075,3117,3.96,12,6,23.7,4,3,1.6,France,Santé,Sans contact,16.2,85.8,0
TX00000076,3846,358.11,21,4,18.1,1,5,9.8,France,E-commerce,Carte physique,8.2,56.4,0
TX00000077,1168,19.8,7,1,47.7,2,6,1.6,France,Station-service,En ligne,3.0,32.0,0
TX00000078,3000,9.16,18,4,38.7,0,4,1.4,France,Station-service,En ligne,3.3,52.4,0
TX00000079,3495,78.67,11,3,122.8,2,7,4.5,France,Restaurant,Carte physique,5.1,70.4,0
TX00000080,3306,26.37,18,4,81.8,0,3,3.7,France,Restaurant,Sans contact,7.1,32.8,0
TX00000081,2092,19.63,13,6,126.9,2,6,13.1,France,E-commerce,Carte physique,5.5,63.7,0
TX00000082,3519,8.51,2,6,36.6,1,6,12.2,France,Alimentaire,Sans contact,12.5,66.0,0
TX00000083,3254,214.27,22,2,11.7,0,5,6.4,UE,Alimentaire,En ligne,2.9,37.1,0
TX00000084,1397,287.06,23,4,32.5,1,3,2.6,France,Voyage,Mobile,7.4,44.0,0
TX00000085,4901,16.72,20,2,137.4,1,0,0.5,UE,Autre,Sans contact,1.9,65.7,0
TX00000086,2299,22.23,9,1,10.4,2,6,10.7,France,Santé,En ligne,4.0,52.3,0
TX00000087,2934,100.64,8,3,1.1,0,2,7.5,France,Alimentaire,Carte physique,4.0,43.1,0
TX00000088,3303,5.69,20,6,33.1,1,6,6.6,France,Santé,Carte physique,3.1,55.4,0
TX00000089,3077,46.15,22,2,24.9,0,3,0.2,France,Autre,Carte physique,3.2,43.7,0
TX00000090,2474,13.74,23,1,34.8,1,2,4.8,UE,Alimentaire,En ligne,13.1,56.8,0
TX00000091,4318,48.86,3,2,254.5,1,3,0.5,Hors-UE,Restaurant,Carte physique,10.0,29.2,0
TX00000092,4318,17.33,3,5,30.2,0,5,6.1,France,Luxe,Carte physique,2.9,58.5,0
TX00000093,3321,60.45,10,4,70.3,1,4,2.2,France,Santé,Carte physique,3.2,42.6,0
TX00000094,1338,42.56,11,4,15.5,1,6,3.9,France,Restaurant,En ligne,4.6,45.7,0
TX00000095,4322,43.89,15,4,72.5,0,1,2.1,UE,Voyage,En ligne,9.3,35.6,0
TX00000096,1216,87.2,20,5,16.2,0,1,2.4,UE,Station-service,En ligne,7.7,57.0,0
TX00000097,3694,12.24,5,6,40.2,1,7,0.8,UE,Autre,Carte physique,7.8,57.2,0
TX00000098,4014,13.4,16,4,105.7,2,3,5.3,France,Alimentaire,Carte physique,5.9,56.9,0
TX00000099,1408,55.69,6,6,8.9,2,4,4.9,UE,Santé,En ligne,2.3,36.6,0
TX00000100,1513,79.44,19,0,16.7,2,3,2.2,France,Autre,Carte physique,4.6,45.0,0
TX00000101,2551,19.36,1,3,111.3,2,4,3.3,France,Autre,Carte physique,5.3,52.9,0
TX00000102,1664,22.99,15,1,1.0,0,3,2.0,France,Station-service,Carte physique,5.6,55.7,0
