id_client,anciennete_jours,nb_commandes_total,montant_total_eur,panier_moyen_eur,jours_depuis_derniere_cmd,nb_categories_achetees,taux_retour_pct,nb_avis_laisses,note_moyenne_donnee
F00902,896,24,488.49,22.95,20,5,13.8,8,4.6
P00487,129,7,272.61,51.67,23,4,2.49,4,3.33
P00554,123,4,292.12,40.21,14,3,15.87,2,4.51
F00456,1054,14,537.46,75.39,47,6,11.54,2,3.91
F00106,231,12,297.15,34.86,82,5,13.45,9,3.74
C00107,1375,53,3571.03,113.41,26,5,1.08,10,4.12
C00590,811,42,2188.25,104.43,13,14,1.61,22,4.94
P00369,102,6,316.2,33.07,16,1,5.51,2,3.3
P00314,158,4,358.1,26.11,20,1,9.31,4,3.41
F01001,508,14,732.05,82.17,21,5,8.06,5,4.25
P00365,118,7,201.25,40.85,17,2,6.05,1,4.34
C00229,1479,39,3312.89,136.84,27,5,2.23,7,4.25
F00316,821,17,658.21,30.81,114,6,1.55,2,3.76
F00195,932,13,365.87,65.1,54,7,5.9,7,4.01
D00022,1815,5,651.53,15.0,353,4,3.66,1,3.38
D00544,1388,3,537.32,59.16,364,5,8.53,1,3.01
F00474,880,17,662.55,60.77,111,7,5.55,0,3.94
D00352,592,6,257.71,65.41,555,3,6.63,1,4.22
F01145,1356,18,799.56,58.52,53,6,11.2,4,3.55
F00485,329,15,634.65,81.85,98,3,3.69,4,3.64
F00327,217,15,768.3,60.33,92,6,14.46,2,3.91
D00050,1850,4,367.11,52.99,773,3,18.99,2,3.09
F00518,930,7,644.01,107.71,103,2,3.06,8,4.38
F00043,200,20,743.91,53.84,84,4,3.28,6,3.92
R00468,779,3,190.01,24.03,391,2,23.75,2,2.0
C00502,1752,47,3601.08,78.58,8,8,5.13,24,4.22
D01067,730,9,508.94,39.19,573,2,16.49,0,2.56
C00334,1907,90,2216.31,181.06,22,8,1.69,19,4.89
R00385,659,1,82.4,25.42,286,1,22.08,2,3.48
C00487,963,43,4123.42,106.19,36,14,6.23,17,4.16
F01363,799,18,447.8,95.77,88,5,0.97,6,4.28
C00394,1697,51,2601.59,95.71,40,11,7.06,13,4.77
R00543,251,2,71.47,34.11,399,2,26.73,0,3.09
R00567,331,3,113.37,30.82,349,1,13.77,2,2.95
F01156,890,15,252.15,77.87,42,2,9.39,5,4.2
P00416,175,2,57.89,55.75,22,1,16.7,0,3.31
D00586,1906,9,152.8,56.9,454,2,6.91,2,4.18
R00016,978,4,107.09,21.28,191,1,39.89,1,2.43
A017a,68,77,6879.68,199.84,2,2,0.96,0,0.0
F01500,510,20,194.62,66.27,43,2,10.29,6,4.13
D00600,728,12,241.31,63.34,621,2,17.07,4,3.82
D01122,1698,3,334.99,66.79,646,3,5.23,0,4.44
C00030,392,88,3532.62,119.08,39,7,3.96,5,4.47
C00066,1014,50,3335.36,142.83,31,13,4.82,24,4.32
F00239,433,14,542.85,86.75,33,3,9.08,4,4.73
D00907,806,14,464.44,47.48,338,2,0.28,4,2.62
D00774,1580,9,397.9,24.79,295,3,21.73,3,2.64
R00336,668,1,51.52,29.35,151,3,17.58,0,2.08
D00162,500,5,345.27,67.04,392,4,0.3,0,2.94
P00560,46,7,161.09,53.65,8,3,16.26,2,3.63
R00316,738,4,107.99,32.88,289,1,39.43,2,2.14
R00329,1149,4,81.27,23.62,219,2,31.63,2,2.55
P00352,108,5,73.85,34.58,26,4,2.07,2,3.43
P00747,69,7,115.82,62.51,11,4,14.79,3,4.97
F00545,652,15,700.06,72.44,115,6,1.2,0,4.79
D00079,1618,10,549.39,26.8,543,5,22.34,4,3.37
F00504,1428,23,419.41,59.48,112,5,13.76,3,3.56
C00169,953,98,3048.45,112.76,24,8,1.04,22,4.17
F01071,993,18,509.56,68.21,56,6,6.88,8,4.76
P00471,46,5,126.18,51.32,23,3,4.79,3,3.98
P00278,135,5,229.77,44.93,20,3,12.6,2,3.47
R00096,442,4,131.48,28.67,202,1,21.02,2,3.24
D01258,1146,11,537.63,32.28,704,2,0.3,4,2.64
D00863,1128,9,556.87,65.54,403,2,14.95,4,3.23
C00024,829,86,3436.01,158.23,29,9,9.15,17,4.26
P00534,97,4,241.2,45.03,15,3,7.16,0,3.33
D00341,1844,10,252.47,52.78,513,2,20.63,1,3.29
P00116,179,7,155.88,63.19,15,2,6.46,3,3.0
D00683,1321,14,233.89,62.79,276,2,22.67,1,4.4
R00425,829,3,108.5,21.64,202,1,28.93,2,2.85
F01308,1477,15,948.96,59.55,89,3,3.19,2,3.57
C00085,561,96,3240.51,119.38,38,13,0.2,20,4.43
C00228,1809,31,3852.98,67.82,22,11,9.06,28,4.42
C00297,407,97,3217.68,98.16,32,7,7.93,19,4.2
F00402,1167,10,541.52,35.59,99,3,9.79,8,4.69
P00039,153,7,276.96,38.37,1,3,2.93,2,3.72
F00112,389,24,580.7,56.12,100,2,3.06,1,4.7
P00702,98,4,175.55,59.56,7,4,12.27,2,4.63
P00428,43,3,299.21,64.87,16,3,2.08,0,4.07
D00753,1177,13,325.73,65.35,526,4,0.37,1,3.7
D00322,1269,11,100.0,47.56,287,5,6.0,3,4.23
D00182,1096,9,516.78,41.53,540,2,11.9,4,4.44
D01184,1897,6,209.35,58.53,675,4,10.82,2,2.71
F01016,969,6,649.79,45.76,64,4,7.16,5,4.66
D00025,1529,8,330.23,39.98,649,2,3.8,2,3.03
F00814,299,21,520.27,84.66,59,2,9.19,2,4.67
F00164,985,12,433.01,69.57,50,2,3.14,9,4.56
F00056,949,15,562.34,92.86,58,7,2.12,3,4.48
R00498,257,1,121.19,35.45,253,3,17.33,2,3.35
D00850,520,7,377.13,49.41,505,3,16.8,2,3.0
D01154,931,5,319.71,36.83,739,4,16.69,0,4.16
C00469,750,80,1994.82,100.8,14,8,4.61,14,4.55
C00158,949,88,3785.59,95.77,21,10,8.43,5,4.14
F00696,1128,15,533.45,43.31,96,5,10.84,8,3.55
C00498,1572,99,3376.84,123.48,41,5,5.84,11,4.65
R00441,962,1,167.85,18.7,269,2,25.64,1,2.88
P00841,88,5,286.42,82.68,13,3,8.54,3,3.54
D00457,1642,3,183.49,26.78,351,5,3.2,2,4.09
C00374,432,59,3192.41,113.74,11,11,5.66,16,4.14
C00080,1760,24,3626.28,77.83,38,14,9.46,26,4.85
F00954,1004,17,345.49,45.04,111,5,2.82,8,4.07
F01070,1481,15,594.66,55.29,46,4,12.62,9,4.03
P00032,107,2,264.53,46.4,7,1,7.03,2,4.82
R00140,921,1,118.71,29.12,152,3,13.34,1,2.33
C00466,631,88,4220.7,181.78,11,14,7.44,13,4.49
C00249,409,23,3454.13,82.94,13,14,0.75,22,4.56
F00332,739,23,682.61,58.28,75,4,7.56,8,4.48
F00736,271,15,356.66,45.72,104,4,5.07,7,3.86
R00225,1154,1,117.93,34.63,247,3,15.14,1,3.76
F00739,1218,19,323.79,65.55,89,4,6.88,3,3.87
F00807,1465,5,628.55,78.68,95,7,5.96,2,4.69
F00491,398,11,183.07,35.0,22,7,10.58,6,4.08
D01210,522,9,471.75,52.23,507,4,2.69,0,3.45
F00143,352,18,884.7,71.82,78,4,1.33,7,4.75
P00224,158,4,50.0,51.95,29,3,8.83,2,4.28
D00602,1082,3,450.88,33.66,238,3,13.95,0,3.39
P00024,166,3,215.74,70.23,29,1,0.69,3,3.57
F01495,287,11,285.87,20.0,76,5,5.12,2,3.52
C00241,1272,35,2892.78,161.77,31,13,5.02,12,4.01
P00252,35,3,182.78,59.72,8,1,1.07,1,4.72
F00771,345,5,781.58,53.67,35,3,4.5,4,3.76
F00458,1363,17,671.86,67.26,57,6,13.13,0,4.66
R00517,599,3,31.48,21.83,228,1,12.66,0,2.37
C00200,1338,32,2891.46,140.84,39,14,2.47,10,4.73
P00181,113,2,194.6,34.79,21,1,4.34,1,3.64
R00450,278,1,106.92,25.22,387,1,35.69,1,2.87
P00121,164,4,165.22,70.72,27,3,13.76,2,4.37
R00472,548,3,88.12,19.96,277,2,28.68,2,3.78
P00720,136,7,183.67,20.0,16,1,4.43,0,4.75
D00151,922,8,283.0,15.0,403,4,4.62,4,4.43
D01257,971,7,388.79,94.78,411,3,23.93,3,3.96
D00108,1539,3,408.7,15.0,476,2,5.07,4,3.87
F01374,1309,5,942.09,34.14,89,3,4.39,1,4.6
F00776,460,5,454.99,59.7,75,4,4.01,8,4.11
D00969,700,14,638.21,72.33,622,3,1.28,1,4.3
D01063,1666,6,352.25,34.07,335,4,24.95,4,3.08
R00146,531,1,125.94,32.3,191,1,5.49,1,3.6
D00558,1695,7,394.26,36.31,369,5,2.03,2,4.23
F00365,409,13,720.65,51.8,39,4,10.88,2,4.2
C00180,548,21,4461.96,124.46,30,8,3.06,24,4.99
