show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Lost Kingdom,,"Ravi Petit, Amélie Rossi, Olivier García, Amélie García, Sofia Kim, Maria Johnson, Chen Kim, Liam Okonkwo",Turkey,"March 21, 2020",1988,TV-MA,71 min,"Action & Adventure, Anime Series, TV Dramas",A mysterious story about family.
s2,Movie,The Final Love,Raj Suzuki,"David Andersen, Camila Tanaka, Yuki Andersen, Chloé Wang, Fatima Patel, Liam Wang",Germany,"November 22, 2011",2011,TV-MA,108 min,"Kids' TV, International Movies",A heartwarming story about adventure.
s3,Movie,Kingdom: Final Fire,Chen Rodriguez,"Felipe García, Isabella Rossi, Camila Suzuki, Ingrid Kumar, Hiroshi Andersen, Alice López",United States,"February 10, 2015",2015,TV-14,105 min,Kids' TV,A hilarious story about revenge.
s4,Movie,House of Fire,Kwame Yamamoto,"Olivier Khan, Tom López, Yuki López, Chloé Tanaka, Sofia Rossi, Camila Yamamoto, Fatima Patel",Australia,"April 23, 2022",1991,TV-MA,78 min,"TV Horror, Anime Series",A gripping story about family.
s5,Movie,Perfect Journey,Ravi Müller,"Kwame García, Isabella López, Lin Kim, Yuki Rodriguez, David López","United Kingdom, China","March 24, 2021",2006,TV-14,109 min,"Docuseries, Thrillers",A thrilling story about friendship.
s6,Movie,The Lost Game,Sofia Rodriguez,"Aoi Andersen, Hiroshi Nakamura, Camila Smith, Tom Patel, Ravi Nakamura",Canada,"February 24, 2011",2011,TV-MA,50 min,"Romantic Movies, Children & Family Movies, Stand-Up Comedy",A thrilling story about revenge.
s7,Movie,Murder: Beautiful Love,Isabella Kumar,"Isabella Andersen, Carlos Andersen, Lin Smith, Hiroshi Johnson, Olivier Martinez, Aoi Tanaka",Brazil,"April 20, 2013",2013,TV-14,100 min,Anime Series,A heartwarming story about friendship.
s8,Movie,Dream of Story,Isabella Wang,"Ahmed Wang, Fatima García, Martin Nakamura, Chloé Nakamura, Camila Smith, Chloé Kim",United States,"August 03, 2016",2000,TV-14,108 min,"TV Thrillers, International TV Shows, Crime TV Shows",A thrilling story about love.
s9,Movie,Midnight House,Liam Petit,"Yuki Martinez, Diego Martinez, Olivier Martinez, Hiroshi Kim","Japan, Germany","January 03, 2022",2011,PG-13,92 min,"TV Horror, Sports Movies",A hilarious story about adventure.
s10,TV Show,Detective: Wild Stranger,"Liam Tanaka, Diego Smith","Tom Tanaka, Hiroshi Patel, James Petit",India,"June 05, 2024",2024,TV-MA,1 Season,TV Action & Adventure,A hilarious story about survival.
s11,TV Show,Hidden Revenge,,"Raj Okonkwo, Raj García, Camila Martinez, Priya Andersen",United States,"August 04, 2019",2016,TV-Y7,1 Season,"Romantic Movies, TV Horror",A thrilling story about friendship.
s12,Movie,The Strange Friend,Priya García,"Fatima Johnson, Chloé Martinez, Ravi Kumar, Sofia Okonkwo, Alice Patel, James Rodriguez",United States,"September 04, 2024",2024,PG,78 min,International Movies,A hilarious story about family.
s13,Movie,Ocean: Midnight Fire,James Brown,"Kwame Wang, Yuki Suzuki, Hiroshi Yamamoto, Amélie Müller, Isabella Rossi, Liam Rodriguez",Japan,"April 16, 2022",2022,TV-Y7,104 min,"Dramas, Action & Adventure",A mysterious story about friendship.
s14,Movie,The Wild Witness,Felipe Suzuki,"Olivier López, Martin Kim, Olivier Müller, Emma Martinez, Fatima Okonkwo, David Johnson, Tom Martinez",United States,"November 16, 2018",2018,TV-Y7,147 min,"British TV Shows, TV Action & Adventure",A heartwarming story about friendship.
s15,TV Show,The Lost Detective,"Felipe Martinez, Aoi Martinez","Diego Johnson, David Tanaka, Sofia Nakamura, Hiroshi Suzuki, Carlos Petit, Liam Müller, Raj Johnson, Emma Nakamura",United States,"February 24, 2021",2021,TV-14,1 Season,"Crime TV Shows, Children & Family Movies, TV Thrillers",A thrilling story about family.
s16,TV Show,The Dangerous Legend,"Camila Okonkwo, Liam García","Aoi Silva, Martin Kumar, Chen Martinez, David Yamamoto, Sofia Wang, Lin López, Priya Smith","United States, France","April 15, 2022",2022,R,7 Seasons,"TV Horror, Documentaries, LGBTQ Movies",A thrilling story about love.
