id_transaction,date,id_client,id_produit,nom_produit,categorie,quantite,prix_unitaire,montant_total,region,mode_paiement,statut
T00001,2024-05-16,C0097,P001,T-shirt coton bio,Vêtements,1,21.47,21.47,Île-de-France,Carte bancaire,Livrée
T00002,2024-11-18,C0159,P008,Enceinte portable,Électronique,2,77.64,155.28,Pays de la Loire,Carte bancaire,Livrée
T00003,2024-07-02,C0219,P005,Ballon de foot,Sport,1,27.76,27.76,Auvergne-Rhône-Alpes,PayPal,Livrée
T00004,2024-12-20,C0137,P003,Pull laine merinos,Vêtements,1,77.11,77.11,Hauts-de-France,Carte bancaire,Livrée
T00005,2024-02-13,C0248,P007,Casque Bluetooth,Électronique,2,140.03,280.06,Île-de-France,Carte bancaire,Livrée
T00006,2024-01-30,C0023,P015,Rouge à lèvres,Beauté,1,18.89,18.89,Bretagne,Virement,En cours
T00007,2024-10-28,C0065,P013,Crème hydratante,Beauté,1,33.62,33.62,Nouvelle-Aquitaine,Virement,Livrée
T00008,2024-01-14,C0131,P007,Casque Bluetooth,Électronique,2,133.13,266.26,Bretagne,PayPal,Annulée
T00009,2024-12-09,C0171,P012,BD jeunesse,Livres,1,17.31,17.31,Occitanie,PayPal,Livrée
T00010,2024-08-12,C0084,P004,Chaussures running,Sport,1,118.16,118.16,Île-de-France,Carte bancaire,Livrée
T00011,2024-01-07,C0200,P013,Crème hydratante,Beauté,1,33.25,33.25,Auvergne-Rhône-Alpes,PayPal,Livrée
T00012,2024-09-23,C0140,P004,Chaussures running,SPORT,1,108.95,108.95,Hauts-de-France,Carte bancaire,Livrée
T00013,2024-10-30,C0021,P009,Câble USB-C,Électronique,1,15.67,15.67,Île-de-France,Carte bancaire,Livrée
T00014,2024-02-28,C0005,P010,Livre cuisine italienne,Livres,1,26.78,26.78,Bretagne,PayPal,Retournée
T00015,2024-02-22,C0027,P014,Parfum floral,Beauté,1,72.97,72.97,Pays de la Loire,Virement,Livrée
T00016,2024-01-11,C0050,P009,Câble USB-C,Électronique,1,14.32,14.32,PACA,Carte bancaire,Livrée
T00017,2024-09-16,C0097,P010,Livre cuisine italienne,Livres,2,27.93,55.86,Grand Est,Carte bancaire,Livrée
T00018,2024-03-24,C0226,P009,Câble USB-C,Électronique,1,13.98,13.98,PACA,Virement,Livrée
T00019,2024-10-08,C0024,P011,Roman policier,Livres,3,19.39,58.17,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00020,2024-06-24,C0120,P007,Casque Bluetooth,Électronique,1,153.6,153.6,Bretagne,Carte bancaire,Annulée
T00021,2024-03-28,C0106,P005,Ballon de foot,Sport,2,27.8,55.6,Grand Est,Carte bancaire,Livrée
T00022,2024-01-26,C0101,P004,Chaussures running,Sport,1,111.81,111.81,Île-de-France,Carte bancaire,Livrée
T00023,2024-04-24,C0074,P011,Roman policier,Livres,1,22.39,22.39,Île-de-France,Carte bancaire,Livrée
T00024,2024-07-03,C0164,P003,Pull laine merinos,Vêtements,1,78.27,78.27,Île-de-France,PayPal,En cours
T00025,2024-07-21,C0054,P015,Rouge à lèvres,Beauté,1,20.29,20.29,Île-de-France,Carte bancaire,Livrée
T00026,2024-02-27,C0125,P011,Roman policier,Livres,5,19.26,96.3,Île-de-France,Carte bancaire,Livrée
T00027,2024-01-13,C0044,P013,Crème hydratante,Beauté,1,35.4,35.4,Île-de-France,Carte bancaire,Livrée
T00028,2024-04-28,C0268,P011,Roman policier,Livres,1,22.41,22.41,Auvergne-Rhône-Alpes,PayPal,Livrée
T00029,2024-03-01,C0194,P010,Livre cuisine italienne,Livres,1,28.17,28.17,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00030,2024-03-25,C0213,P003,Pull laine merinos,Vêtements,1,81.68,81.68,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00031,2024-11-06,C0151,P008,Enceinte portable,Électronique,1,69.53,69.53,Hauts-de-France,PayPal,Livrée
T00032,2024-04-01,C0209,P005,Ballon de foot,Sport,1,26.41,26.41,Île-de-France,Carte bancaire,Livrée
T00033,2024-07-06,C0035,P002,Jeans slim,Vêtements,2,59.49,118.98,Bretagne,PayPal,Livrée
T00034,2024-11-17,C0223,P006,Tapis de yoga,Sport,1,37.23,37.23,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00035,2024-11-28,C0250,P005,Ballon de foot,Sport,1,25.67,25.67,Île-de-France,PayPal,Livrée
T00036,2024-06-13,C0127,P006,Tapis de yoga,Sport,1,38.64,38.64,Île-de-France,Chèque cadeau,Livrée
T00037,2024-05-02,C0061,P005,Ballon de foot,Sport,1,30.59,30.59,Île-de-France,Chèque cadeau,Livrée
T00038,2024-07-27,C0249,P009,Câble USB-C,Électronique,1,13.62,13.62,PACA,Carte bancaire,Livrée
T00039,2024-10-14,C0188,P003,Pull laine merinos,Vêtements,2,77.59,155.18,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00040,2024-05-23,C0151,P011,Roman policier,Livres,1,22.16,22.16,Occitanie,Carte bancaire,Livrée
T00041,2024-12-11,C0178,P011,Roman policier,Livres,1,21.7,21.7,Île-de-France,Carte bancaire,Livrée
T00042,2024-11-30,C0188,P004,Chaussures running,Sport,4,105.79,423.16,Nouvelle-Aquitaine,Carte bancaire,Livrée
T00043,2024-07-26,C0201,P009,Câble USB-C,Électronique,1,15.14,15.14,Auvergne-Rhône-Alpes,Carte bancaire,Livrée
T00044,2024-04-21,C0268,P010,Livre cuisine italienne,Livres,1,26.63,26.63,Occitanie,Carte bancaire,Livrée
T00045,2024-09-09,C0186,P001,T-shirt coton bio,Vêtements,2,21.75,43.5,Auvergne-Rhône-Alpes,Carte bancaire,En cours
T00046,2024-10-06,C0040,P005,Ballon de foot,Sport,1,25.58,25.58,PACA,PayPal,En cours
T00047,2024-08-16,C0035,P010,Livre cuisine italienne,Livres,1,26.04,26.04,Bretagne,Carte bancaire,Livrée
T00048,2024-03-03,C0010,P015,Rouge à lèvres,Beauté,2,18.7,37.4,Occitanie,Carte bancaire,Livrée
T00049,2024-12-07,C0188,P002,Jeans slim,Vêtements,1,55.3,55.3,Auvergne-Rhône-Alpes,PayPal,Livrée
T00050,2024-12-30,C0047,P002,Jeans slim,Vêtements,1,59.25,59.25,Grand Est,Chèque cadeau,Livrée
T00051,2024-03-17,C0047,P013,Crème hydratante,Beauté,2,30.25,60.5,Auvergne-Rhône-Alpes,Carte bancaire,En cours
T00052,2024-06-21,C0106,P001,T-shirt coton bio,Vêtements,2,24.02,48.04,Île-de-France,Carte bancaire,En cours
T00053,2024-02-29,C0079,P005,Ballon de foot,Sport,1,26.86,26.86,Nouvelle-Aquitaine,PayPal,Livrée
T00054,2024-01-27,C0161,P001,T-shirt coton bio,Vêtements,1,23.36,23.36,Occitanie,Carte bancaire,Livrée
